,lat,lon,average_temp,average_min_daily_temp,min_min_daily_temp,average_windchill,average_min_daily_windchill,min_min_daily_windchill,average_hi,average_max_daily_hi,avg_hrs_below_fr,total_hr_below_fr
0,24.5,-125.0,65.12165675988362,64.82446184822687,61.55749633789067,65.12165675988362,64.82446184822687,61.55749633789067,65.12165675988362,65.38473433933906,0.0,0.0
1,24.5,-124.375,64.95610637364766,64.67029218695144,61.321729736328166,64.95610637364766,64.67029218695144,61.321729736328166,64.95610637364766,65.22364884622988,0.0,0.0
2,24.5,-123.75,64.84354712154092,64.53800136609027,61.33579223632817,64.84354712154092,64.53800136609027,61.33579223632817,64.84354712154092,65.13079215403357,0.0,0.0
3,24.5,-123.125,64.7239961208387,64.43020450206288,60.95610473632817,64.7239961208387,64.43020450206288,60.95610473632817,64.7239961208387,65.00148615804954,0.0,0.0
4,24.5,-122.5,64.6177373427488,64.33368158576201,60.85541503906254,64.6177373427488,64.33368158576201,60.85541503906254,64.6177373427488,64.90487127754133,0.0,0.0
5,24.5,-121.875,64.45584083642856,64.15610487348586,60.658540039062544,64.45584083642856,64.15610487348586,60.658540039062544,64.45584083642856,64.75764954299073,0.0,0.0
6,24.5,-121.25,64.3520113947151,64.0534333166916,60.56213500976567,64.3520113947151,64.0534333166916,60.56213500976567,64.3520113947151,64.65417808275548,0.0,0.0
7,24.5,-120.625,64.34338033783307,64.04270127885805,60.51994750976567,64.34338033783307,64.04270127885805,60.51994750976567,64.34338033783307,64.64463170426619,0.0,0.0
8,24.5,-120.0,64.2777685049679,63.96325099302148,60.41211669921879,64.2777685049679,63.96325099302148,60.41211669921879,64.2777685049679,64.58992534508872,0.0,0.0
9,24.5,-119.375,64.15610417912524,63.832899444237235,60.345979003906294,64.15610417912524,63.832899444237235,60.345979003906294,64.15610417912524,64.46813696014755,0.0,0.0
10,24.5,-118.75,64.21344046774877,63.88232310777307,60.509125976562544,64.21344046774877,63.88232310777307,60.509125976562544,64.21344046774877,64.50745196738944,0.0,0.0
11,24.5,-118.125,64.72733398951847,64.39404405229554,61.17006347656255,64.72733398951847,64.39404405229554,61.17006347656255,64.72733398951847,65.02582951577865,0.0,0.0
12,24.5,-117.5,65.16287647547351,64.81581165785205,61.58562133789067,65.16287647547351,64.81581165785205,61.58562133789067,65.16287647547351,65.47815269213048,0.0,0.0
13,24.5,-116.875,65.39119459345106,65.05618079024762,61.599683837890666,65.39119459345106,65.05618079024762,61.599683837890666,65.39119459345106,65.71330517029503,0.0,0.0
14,24.5,-116.25,65.5676276166252,65.22611027749744,61.599683837890666,65.5676276166252,65.22611027749744,61.599683837890666,65.5676276166252,65.90026531776691,0.0,0.0
15,24.5,-115.625,65.7004708399398,65.34193580198827,61.52580078125004,65.7004708399398,65.34193580198827,61.52580078125004,65.7004708399398,66.0483252227441,0.0,0.0
16,24.5,-115.0,65.69010172126005,65.33883617615435,61.25224121093754,65.69010172126005,65.33883617615435,61.25224121093754,65.69010172126005,66.0160926938861,0.0,0.0
17,24.5,-114.375,65.65567624724319,65.31723322836207,61.139741210937544,65.65567624724319,65.31723322836207,61.139741210937544,65.65567624724319,65.96203131857885,0.0,0.0
18,24.5,-113.75,65.77767147449967,65.40937951248685,61.11969116210942,65.77767147449967,65.40937951248685,61.11969116210942,65.77767147449967,66.11265758042927,0.0,0.0
19,24.5,-113.125,66.08380735933115,65.70100295163276,61.07008789062505,66.08380735933115,65.70100295163276,61.07008789062505,66.08380735933115,66.44446382329708,0.0,0.0
20,24.5,-112.5,66.43290102155028,65.65133734199443,61.19132202148442,66.43290102155028,65.65133734199443,61.19132202148442,66.43290102155028,67.04268975761502,0.0,0.0
21,24.5,-111.875,69.74293108650811,64.2769415214625,56.7002758789063,69.74293108650811,64.2769415214625,56.7002758789063,69.74094133040164,72.60293461145984,0.0,0.0
22,24.5,-111.25,75.70658650258959,63.45965746247373,52.40335815429692,75.70658650258959,63.45965746247373,52.40335815429692,74.8737153475739,79.78054547497081,0.0,0.0
23,24.5,-110.625,72.80473432562333,65.8674260720243,58.47725952148441,72.80473432562333,65.8674260720243,58.47725952148441,72.66861052423747,75.94045742922515,0.0,0.0
24,24.5,-110.0,69.84943674837612,67.80526622300744,61.810072021484416,69.84943674837612,67.80526622300744,61.810072021484416,69.84943674837612,71.00699207777396,0.0,0.0
25,24.5,-109.375,69.38657904121317,68.71524835136502,64.01129272460942,69.38657904121317,68.71524835136502,64.01129272460942,69.38657904121317,69.88340301856576,0.0,0.0
26,24.5,-108.75,69.47867656579184,68.9217715694128,63.36441772460942,69.47867656579184,68.9217715694128,63.36441772460942,69.47867656579184,69.94966909344282,0.0,0.0
27,24.5,-108.125,71.09843165708398,68.38895687489033,63.03197143554692,71.09843165708398,68.38895687489033,63.03197143554692,71.09843165708398,72.38786427701463,0.0,0.0
28,24.5,-107.5,75.93930902716825,68.67967486778007,57.11165893554691,75.93930902716825,68.67967486778007,57.11165893554691,75.71937366869416,78.64772853253405,0.0,0.0
29,24.5,-106.875,80.77852733826379,70.99360233606919,52.17572143554692,80.77852733826379,70.99360233606919,52.17572143554692,79.08307119134027,82.3530752669022,0.0,0.0
30,24.5,-106.25,70.21588140251937,58.12838990629393,44.91941650390629,70.2091066480846,58.07419187081578,44.581013270772196,69.94482310399589,74.16465698777598,0.0,0.0
31,24.5,-105.625,61.66745158334801,50.81573190067596,39.22921264648441,61.405032218702075,49.80364758072693,35.53098561597906,61.65545087976746,65.97064694522479,0.0,0.0
32,24.5,-105.0,64.94671005420474,53.00568976584449,38.82766235351566,64.71261513869723,51.69273586360995,33.360663890836136,64.85564685422466,69.63912606940603,0.0,0.0
