,lat,lon,average_temp,average_min_daily_temp,min_min_daily_temp,average_windchill,average_min_daily_windchill,min_min_daily_windchill
0,25.0,-125.0,71.30818984985355,71.27995727539066,71.16591918945318,71.30818984985355,71.27995727539066,71.16591918945318
1,25.0,-124.375,71.09666641235357,71.06433227539067,70.91279418945317,71.09666641235357,71.06433227539067,70.91279418945317
2,25.0,-123.75,70.74510391235357,70.71276977539067,70.56123168945317,70.74510391235357,70.71276977539067,70.56123168945317
3,25.0,-123.125,70.79432266235355,70.75964477539067,70.61748168945317,70.79432266235355,70.75964477539067,70.61748168945317
4,25.0,-122.5,71.24608047485357,71.22370727539068,71.10966918945317,71.24608047485357,71.22370727539068,71.10966918945317
5,25.0,-121.875,71.34393203735355,71.30808227539067,71.16591918945318,71.34393203735355,71.30808227539067,71.16591918945318
6,25.0,-121.25,71.32635391235355,71.28464477539067,71.09560668945318,71.32635391235355,71.28464477539067,71.09560668945318
7,25.0,-120.625,70.56756484985357,70.52058227539067,70.29404418945316,70.56756484985357,70.52058227539067,70.29404418945316
8,25.0,-120.0,70.55291641235355,70.51589477539066,70.30810668945317,70.55291641235355,70.51589477539066,70.30810668945317
9,25.0,-119.375,70.76971328735355,70.74089477539066,70.58935668945317,70.76971328735355,70.74089477539066,70.58935668945317
10,25.0,-118.75,70.81190078735357,70.77839477539068,70.61748168945317,70.81190078735357,70.77839477539068,70.61748168945317
11,25.0,-118.125,71.29471328735356,71.25183227539067,71.05341918945317,71.29471328735356,71.25183227539067,71.05341918945317
12,25.0,-117.5,71.08377578735356,71.03620727539068,70.80029418945317,71.08377578735356,71.03620727539068,70.80029418945317
13,25.0,-116.875,70.51483047485355,70.46433227539067,70.26591918945317,70.51483047485355,70.46433227539067,70.26591918945317
14,25.0,-116.25,70.79842422485355,70.74558227539067,70.49091918945317,70.79842422485355,70.74558227539067,70.49091918945317
15,25.0,-115.625,70.59334609985356,70.52058227539067,70.18154418945318,70.59334609985356,70.52058227539067,70.18154418945318
16,25.0,-115.0,70.85467422485355,70.79245727539067,70.51904418945317,70.85467422485355,70.79245727539067,70.51904418945317
17,25.0,-114.375,72.16424453735355,72.14685180664067,72.07910278320317,72.16424453735355,72.14685180664067,72.07910278320317
18,25.0,-113.75,73.68844421386723,73.65761840820318,73.52962768554693,73.68844421386723,73.65761840820318,73.52962768554693
19,25.0,-113.125,73.77633483886721,73.75605590820318,73.65619018554692,73.77633483886721,73.75605590820318,73.65619018554692
20,25.0,-112.5,75.30328796386722,72.40636718750004,72.3557934570313,75.30328796386722,72.40636718750004,72.3557934570313
21,25.0,-111.875,88.06149108886723,66.58449218750003,66.39329345703129,88.06149108886723,66.58449218750003,66.39329345703129
22,25.0,-111.25,90.15973327636722,69.54230468750005,69.53477905273442,90.15973327636722,69.54230468750005,69.53477905273442
23,25.0,-110.625,79.44645202636723,73.77980468750005,73.6917309570313,79.44645202636723,73.77980468750005,73.6917309570313
24,25.0,-110.0,73.69606140136723,73.63202026367192,73.50150268554691,73.69606140136723,73.63202026367192,73.50150268554691
25,25.0,-109.375,74.86383483886722,74.78261840820316,74.45775268554692,74.86383483886722,74.78261840820316,74.45775268554692
26,25.0,-108.75,75.55699890136724,73.82199218750004,73.70579345703129,75.55699890136724,73.82199218750004,73.70579345703129
27,25.0,-108.125,82.41305358886724,72.60324218750004,72.53009155273442,82.41305358886724,72.60324218750004,72.53009155273442
28,25.0,-107.5,88.75875671386723,74.98917968750006,74.79415405273443,88.75875671386723,74.98917968750006,74.79415405273443
